Ward,Precinct,Votes,Joseph R. Biden & Kamala D. Harris ,%,Donald J. Trump & Michael R. Pence ,%,Howie Hawkins & Angela Walker ,%,Gloria La Riva & Leonard Peltier ,%,Brian Carroll & Amar Patel ,%,Jo Jorgensen & Jeremy ''Spike'' Cohen ,%
1,1,736,641,87.09%,75,10.19%,7,0.95%,6,0.82%,1,0.14%,6,0.82%
1,2,581,515,88.64%,51,8.78%,6,1.03%,4,0.69%,0,0%,5,0.86%
1,3,796,718,90.20%,68,8.54%,1,0.13%,0,0%,1,0.13%,8,1.01%
1,4,791,686,86.73%,91,11.50%,3,0.38%,2,0.25%,1,0.13%,8,1.01%
1,5,732,647,88.39%,71,9.70%,3,0.41%,2,0.27%,0,0%,9,1.23%
1,6,636,531,83.49%,94,14.78%,5,0.79%,2,0.31%,1,0.16%,3,0.47%
1,7,469,412,87.85%,47,10.02%,1,0.21%,2,0.43%,0,0%,7,1.49%
1,8,628,557,88.69%,64,10.19%,2,0.32%,1,0.16%,0,0%,4,0.64%
1,9,481,410,85.24%,61,12.68%,4,0.83%,1,0.21%,0,0%,5,1.04%
1,10,871,751,86.22%,100,11.48%,3,0.34%,0,0%,1,0.11%,16,1.84%
1,11,795,712,89.56%,67,8.43%,7,0.88%,0,0%,0,0%,9,1.13%
1,12,830,683,82.29%,130,15.66%,5,0.60%,3,0.36%,0,0%,9,1.08%
1,13,344,298,86.63%,30,8.72%,5,1.45%,3,0.87%,0,0%,8,2.33%
1,14,675,602,89.19%,66,9.78%,2,0.30%,1,0.15%,0,0%,4,0.59%
1,15,606,505,83.33%,84,13.86%,4,0.66%,4,0.66%,0,0%,9,1.49%
1,16,739,642,86.87%,78,10.55%,5,0.68%,5,0.68%,1,0.14%,8,1.08%
1,17,588,523,88.95%,54,9.18%,4,0.68%,3,0.51%,1,0.17%,3,0.51%
1,18,656,596,90.85%,46,7.01%,4,0.61%,5,0.76%,1,0.15%,4,0.61%
1,19,782,704,90.03%,55,7.03%,11,1.41%,2,0.26%,0,0%,10,1.28%
1,20,514,475,92.41%,33,6.42%,3,0.58%,1,0.19%,0,0%,2,0.39%
1,21,"1,018",913,89.69%,84,8.25%,9,0.88%,1,0.10%,1,0.10%,10,0.98%
1,22,460,405,88.04%,41,8.91%,8,1.74%,2,0.43%,0,0%,4,0.87%
1,23,858,771,89.86%,62,7.23%,12,1.40%,6,0.70%,3,0.35%,4,0.47%
1,24,621,543,87.44%,56,9.02%,7,1.13%,8,1.29%,2,0.32%,5,0.81%
1,25,651,580,89.09%,56,8.60%,4,0.61%,0,0%,2,0.31%,9,1.38%
1,26,459,398,86.71%,54,11.76%,2,0.44%,0,0%,1,0.22%,4,0.87%
1,27,752,646,85.90%,92,12.23%,4,0.53%,2,0.27%,0,0%,8,1.06%
1,28,229,187,81.66%,36,15.72%,2,0.87%,0,0%,2,0.87%,2,0.87%
1,29,904,806,89.16%,77,8.52%,3,0.33%,6,0.66%,0,0%,12,1.33%
1,30,753,658,87.38%,78,10.36%,9,1.20%,3,0.40%,0,0%,5,0.66%
1,31,611,525,85.92%,76,12.44%,1,0.16%,3,0.49%,2,0.33%,4,0.65%
1,32,668,554,82.93%,98,14.67%,2,0.30%,0,0%,2,0.30%,12,1.80%
1,33,783,652,83.27%,117,14.94%,2,0.26%,5,0.64%,0,0%,7,0.89%
1,34,530,485,91.51%,34,6.42%,2,0.38%,2,0.38%,1,0.19%,6,1.13%
1,35,849,723,85.16%,109,12.84%,4,0.47%,0,0%,0,0%,13,1.53%
1,36,780,676,86.67%,87,11.15%,6,0.77%,0,0%,0,0%,11,1.41%
1,37,727,606,83.36%,107,14.72%,6,0.83%,1,0.14%,0,0%,7,0.96%
1,38,660,595,90.15%,52,7.88%,2,0.30%,1,0.15%,1,0.15%,9,1.36%
1,39,582,498,85.57%,74,12.71%,1,0.17%,1,0.17%,0,0%,8,1.37%
1,40,647,525,81.14%,110,17.00%,3,0.46%,1,0.15%,0,0%,8,1.24%
1,41,386,353,91.45%,24,6.22%,1,0.26%,2,0.52%,1,0.26%,5,1.30%
1,42,214,185,86.45%,24,11.21%,1,0.47%,0,0%,0,0%,4,1.87%
1,43,437,381,87.19%,50,11.44%,2,0.46%,0,0%,0,0%,4,0.92%
1,44,606,542,89.44%,46,7.59%,4,0.66%,0,0%,0,0%,14,2.31%
2,1,785,689,87.77%,81,10.32%,5,0.64%,0,0%,0,0%,10,1.27%
2,2,488,370,75.82%,111,22.75%,1,0.20%,0,0%,0,0%,6,1.23%
2,3,796,704,88.44%,76,9.55%,5,0.63%,3,0.38%,0,0%,8,1.01%
2,4,694,610,87.90%,72,10.37%,2,0.29%,4,0.58%,1,0.14%,5,0.72%
2,5,823,720,87.48%,86,10.45%,3,0.36%,3,0.36%,1,0.12%,10,1.22%
2,6,721,614,85.16%,97,13.45%,3,0.42%,0,0%,0,0%,7,0.97%
2,7,658,572,86.93%,69,10.49%,9,1.37%,0,0%,0,0%,8,1.22%
2,8,865,750,86.71%,92,10.64%,3,0.35%,1,0.12%,3,0.35%,16,1.85%
2,9,683,529,77.45%,140,20.50%,1,0.15%,0,0%,0,0%,13,1.90%
2,10,515,349,67.77%,159,30.87%,2,0.39%,0,0%,0,0%,5,0.97%
2,11,689,521,75.62%,156,22.64%,3,0.44%,1,0.15%,1,0.15%,7,1.02%
2,12,594,514,86.53%,68,11.45%,3,0.51%,1,0.17%,2,0.34%,6,1.01%
2,13,561,442,78.79%,112,19.96%,1,0.18%,0,0%,0,0%,6,1.07%
2,14,693,586,84.56%,98,14.14%,2,0.29%,1,0.14%,0,0%,6,0.87%
2,15,642,568,88.47%,64,9.97%,0,0%,3,0.47%,0,0%,7,1.09%
2,16,667,594,89.06%,66,9.90%,0,0%,1,0.15%,0,0%,6,0.90%
2,17,774,651,84.11%,110,14.21%,4,0.52%,2,0.26%,1,0.13%,6,0.78%
2,18,640,494,77.19%,134,20.94%,3,0.47%,0,0%,1,0.16%,8,1.25%
2,19,465,344,73.98%,120,25.81%,0,0%,0,0%,0,0%,1,0.22%
2,20,912,735,80.59%,160,17.54%,2,0.22%,0,0%,1,0.11%,14,1.54%
2,21,711,633,89.03%,67,9.42%,2,0.28%,1,0.14%,0,0%,8,1.13%
2,22,742,600,80.86%,124,16.71%,3,0.40%,0,0%,0,0%,15,2.02%
2,23,456,355,77.85%,96,21.05%,0,0%,0,0%,1,0.22%,4,0.88%
2,24,633,531,83.89%,90,14.22%,1,0.16%,0,0%,0,0%,11,1.74%
2,25,788,686,87.06%,83,10.53%,4,0.51%,1,0.13%,0,0%,14,1.78%
2,26,622,499,80.23%,114,18.33%,0,0%,0,0%,0,0%,9,1.45%
2,27,621,424,68.28%,185,29.79%,1,0.16%,1,0.16%,0,0%,10,1.61%
2,28,791,628,79.39%,141,17.83%,2,0.25%,0,0%,0,0%,20,2.53%
2,29,771,596,77.30%,161,20.88%,1,0.13%,1,0.13%,0,0%,12,1.56%
2,30,575,440,76.52%,124,21.57%,2,0.35%,1,0.17%,0,0%,8,1.39%
2,31,752,594,78.99%,147,19.55%,2,0.27%,0,0%,0,0%,9,1.20%
2,32,584,440,75.34%,131,22.43%,4,0.68%,0,0%,1,0.17%,8,1.37%
2,33,963,725,75.29%,223,23.16%,4,0.42%,1,0.10%,0,0%,10,1.04%
2,34,493,363,73.63%,124,25.15%,0,0%,0,0%,0,0%,6,1.22%
2,35,924,723,78.25%,182,19.70%,5,0.54%,1,0.11%,0,0%,13,1.41%
2,36,783,590,75.35%,182,23.24%,1,0.13%,0,0%,1,0.13%,9,1.15%
2,37,577,452,78.34%,120,20.80%,1,0.17%,0,0%,0,0%,4,0.69%
2,38,635,473,74.49%,154,24.25%,0,0%,0,0%,1,0.16%,7,1.10%
2,39,473,309,65.33%,155,32.77%,4,0.85%,0,0%,0,0%,5,1.06%
2,40,969,753,77.71%,201,20.74%,1,0.10%,0,0%,1,0.10%,13,1.34%
2,41,832,614,73.80%,197,23.68%,4,0.48%,0,0%,1,0.12%,16,1.92%
2,42,766,589,76.89%,160,20.89%,6,0.78%,0,0%,0,0%,11,1.44%
2,43,937,693,73.96%,225,24.01%,1,0.11%,1,0.11%,1,0.11%,16,1.71%
2,44,401,308,76.81%,84,20.95%,1,0.25%,0,0%,0,0%,8,2.00%
2,45,789,630,79.85%,142,18.00%,3,0.38%,3,0.38%,0,0%,11,1.39%
2,46,405,317,78.27%,77,19.01%,1,0.25%,0,0%,0,0%,10,2.47%
3,1,756,726,96.03%,29,3.84%,1,0.13%,0,0%,0,0%,0,0%
3,2,615,599,97.40%,14,2.28%,0,0%,0,0%,0,0%,2,0.33%
3,3,497,421,84.71%,73,14.69%,0,0%,2,0.40%,0,0%,1,0.20%
3,4,614,594,96.74%,12,1.95%,4,0.65%,1,0.16%,2,0.33%,1,0.16%
3,5,336,301,89.58%,26,7.74%,5,1.49%,3,0.89%,0,0%,1,0.30%
3,6,847,691,81.58%,141,16.65%,5,0.59%,0,0%,0,0%,10,1.18%
3,7,369,350,94.85%,17,4.61%,1,0.27%,0,0%,1,0.27%,0,0%
3,8,457,428,93.65%,20,4.38%,2,0.44%,0,0%,4,0.88%,3,0.66%
3,9,604,572,94.70%,22,3.64%,3,0.50%,0,0%,0,0%,7,1.16%
3,10,302,286,94.70%,13,4.30%,1,0.33%,2,0.66%,0,0%,0,0%
3,11,607,577,95.06%,24,3.95%,1,0.16%,2,0.33%,1,0.16%,2,0.33%
3,12,556,527,94.78%,21,3.78%,4,0.72%,0,0%,0,0%,4,0.72%
3,13,704,606,86.08%,92,13.07%,1,0.14%,0,0%,1,0.14%,4,0.57%
3,14,685,591,86.28%,81,11.82%,2,0.29%,4,0.58%,0,0%,7,1.02%
3,15,552,525,95.11%,22,3.99%,2,0.36%,1,0.18%,2,0.36%,0,0%
3,16,434,417,96.08%,15,3.46%,1,0.23%,0,0%,0,0%,1,0.23%
3,17,856,782,91.36%,66,7.71%,3,0.35%,1,0.12%,1,0.12%,3,0.35%
3,18,832,766,92.07%,53,6.37%,4,0.48%,5,0.60%,1,0.12%,3,0.36%
3,19,756,609,80.56%,136,17.99%,2,0.26%,1,0.13%,0,0%,8,1.06%
3,20,606,575,94.88%,20,3.30%,4,0.66%,3,0.50%,2,0.33%,2,0.33%
3,21,681,571,83.85%,102,14.98%,1,0.15%,0,0%,0,0%,7,1.03%
3,22,848,705,83.14%,132,15.57%,1,0.12%,1,0.12%,1,0.12%,8,0.94%
3,23,515,472,91.65%,37,7.18%,3,0.58%,0,0%,1,0.19%,2,0.39%
3,24,473,454,95.98%,14,2.96%,2,0.42%,2,0.42%,0,0%,1,0.21%
3,25,"1,116",910,81.54%,190,17.03%,6,0.54%,0,0%,1,0.09%,9,0.81%
3,26,710,591,83.24%,109,15.35%,2,0.28%,1,0.14%,0,0%,7,0.99%
3,27,784,609,77.68%,166,21.17%,2,0.26%,3,0.38%,0,0%,4,0.51%
3,28,378,348,92.06%,25,6.61%,0,0%,1,0.26%,1,0.26%,3,0.79%
3,29,647,615,95.05%,24,3.71%,4,0.62%,1,0.15%,0,0%,3,0.46%
3,30,514,496,96.50%,12,2.33%,4,0.78%,0,0%,1,0.19%,1,0.19%
3,31,663,635,95.78%,20,3.02%,6,0.90%,2,0.30%,0,0%,0,0%
3,32,990,854,86.26%,115,11.62%,8,0.81%,0,0%,1,0.10%,12,1.21%
3,33,789,672,85.17%,100,12.67%,2,0.25%,0,0%,2,0.25%,13,1.65%
3,34,964,843,87.45%,108,11.20%,5,0.52%,0,0%,1,0.10%,7,0.73%
3,35,305,285,93.44%,16,5.25%,2,0.66%,0,0%,0,0%,2,0.66%
3,36,289,278,96.19%,7,2.42%,1,0.35%,2,0.69%,0,0%,1,0.35%
3,37,500,480,96.00%,16,3.20%,1,0.20%,1,0.20%,1,0.20%,1,0.20%
3,38,426,409,96.01%,14,3.29%,2,0.47%,0,0%,0,0%,1,0.23%
3,39,"1,228",1057,86.07%,158,12.87%,3,0.24%,0,0%,0,0%,10,0.81%
3,40,649,580,89.37%,59,9.09%,3,0.46%,2,0.31%,1,0.15%,4,0.62%
3,41,341,304,89.15%,34,9.97%,1,0.29%,1,0.29%,1,0.29%,0,0%
4,1,794,737,92.82%,42,5.29%,5,0.63%,4,0.50%,0,0%,6,0.76%
4,2,782,670,85.68%,94,12.02%,3,0.38%,2,0.26%,1,0.13%,12,1.53%
4,3,488,467,95.70%,17,3.48%,4,0.82%,0,0%,0,0%,0,0%
4,4,761,712,93.56%,39,5.12%,2,0.26%,2,0.26%,2,0.26%,4,0.53%
4,5,598,566,94.65%,24,4.01%,4,0.67%,2,0.33%,1,0.17%,1,0.17%
4,6,698,637,91.26%,57,8.17%,3,0.43%,1,0.14%,0,0%,0,0%
4,7,717,679,94.70%,27,3.77%,5,0.70%,2,0.28%,0,0%,4,0.56%
4,8,645,603,93.49%,26,4.03%,13,2.02%,2,0.31%,1,0.16%,0,0%
4,9,622,592,95.18%,29,4.66%,0,0%,1,0.16%,0,0%,0,0%
4,10,716,687,95.95%,18,2.51%,4,0.56%,2,0.28%,1,0.14%,4,0.56%
4,11,600,575,95.83%,17,2.83%,4,0.67%,2,0.33%,1,0.17%,1,0.17%
4,12,718,691,96.24%,23,3.20%,3,0.42%,0,0%,1,0.14%,0,0%
4,13,820,691,84.27%,106,12.93%,4,0.49%,1,0.12%,0,0%,18,2.20%
4,14,593,551,92.92%,40,6.75%,0,0%,0,0%,0,0%,2,0.34%
4,15,634,599,94.48%,29,4.57%,5,0.79%,1,0.16%,0,0%,0,0%
4,16,"1,033",878,85.00%,142,13.75%,6,0.58%,2,0.19%,0,0%,5,0.48%
4,17,704,613,87.07%,80,11.36%,2,0.28%,2,0.28%,1,0.14%,6,0.85%
4,18,566,539,95.23%,20,3.53%,4,0.71%,1,0.18%,0,0%,2,0.35%
4,19,503,471,93.64%,28,5.57%,2,0.40%,1,0.20%,0,0%,1,0.20%
4,20,510,419,82.16%,81,15.88%,6,1.18%,0,0%,0,0%,4,0.78%
4,21,711,613,86.22%,86,12.10%,4,0.56%,2,0.28%,0,0%,6,0.84%
4,22,561,524,93.40%,29,5.17%,4,0.71%,0,0%,2,0.36%,2,0.36%
4,23,677,642,94.83%,23,3.40%,6,0.89%,3,0.44%,0,0%,3,0.44%
4,24,543,509,93.74%,26,4.79%,4,0.74%,2,0.37%,0,0%,2,0.37%
4,25,803,693,86.30%,97,12.08%,1,0.12%,0,0%,0,0%,12,1.49%
4,26,532,505,94.92%,23,4.32%,3,0.56%,0,0%,1,0.19%,0,0%
4,27,761,721,94.74%,31,4.07%,2,0.26%,3,0.39%,1,0.13%,3,0.39%
4,28,532,488,91.73%,39,7.33%,5,0.94%,0,0%,0,0%,0,0%
4,29,561,541,96.43%,15,2.67%,1,0.18%,3,0.53%,0,0%,1,0.18%
4,30,813,782,96.19%,26,3.20%,3,0.37%,2,0.25%,0,0%,0,0%
4,31,554,517,93.32%,29,5.23%,5,0.90%,3,0.54%,0,0%,0,0%
4,32,630,592,93.97%,26,4.13%,4,0.63%,2,0.32%,2,0.32%,4,0.63%
4,33,554,524,94.58%,21,3.79%,5,0.90%,2,0.36%,0,0%,2,0.36%
4,34,537,495,92.18%,26,4.84%,5,0.93%,1,0.19%,3,0.56%,7,1.30%
4,35,671,622,92.70%,44,6.56%,4,0.60%,0,0%,0,0%,1,0.15%
4,36,710,672,94.65%,31,4.37%,7,0.99%,0,0%,0,0%,0,0%
4,37,"1,106",959,86.71%,134,12.12%,4,0.36%,2,0.18%,0,0%,7,0.63%
4,38,622,595,95.66%,22,3.54%,2,0.32%,0,0%,1,0.16%,2,0.32%
5,1,546,518,94.87%,18,3.30%,3,0.55%,2,0.37%,3,0.55%,2,0.37%
5,2,442,428,96.83%,12,2.71%,1,0.23%,1,0.23%,0,0%,0,0%
5,3,591,555,93.91%,21,3.55%,4,0.68%,7,1.18%,0,0%,4,0.68%
5,4,753,716,95.09%,24,3.19%,8,1.06%,3,0.40%,0,0%,2,0.27%
5,5,541,514,95.01%,19,3.51%,4,0.74%,1,0.18%,2,0.37%,1,0.18%
5,6,457,420,91.90%,31,6.78%,5,1.09%,0,0%,1,0.22%,0,0%
5,7,589,549,93.21%,32,5.43%,4,0.68%,2,0.34%,0,0%,2,0.34%
5,8,602,565,93.85%,29,4.82%,1,0.17%,1,0.17%,1,0.17%,5,0.83%
5,9,697,660,94.69%,26,3.73%,2,0.29%,2,0.29%,2,0.29%,5,0.72%
5,10,479,460,96.03%,15,3.13%,4,0.84%,0,0%,0,0%,0,0%
5,11,578,542,93.77%,27,4.67%,4,0.69%,1,0.17%,2,0.35%,2,0.35%
5,12,372,342,91.94%,24,6.45%,4,1.08%,2,0.54%,0,0%,0,0%
5,13,499,476,95.39%,16,3.21%,7,1.40%,0,0%,0,0%,0,0%
5,14,447,433,96.87%,10,2.24%,0,0%,1,0.22%,3,0.67%,0,0%
5,15,571,535,93.70%,25,4.38%,6,1.05%,2,0.35%,0,0%,3,0.53%
5,16,550,531,96.55%,14,2.55%,1,0.18%,2,0.36%,2,0.36%,0,0%
5,17,482,459,95.23%,20,4.15%,1,0.21%,0,0%,1,0.21%,1,0.21%
5,18,538,511,94.98%,16,2.97%,5,0.93%,1,0.19%,2,0.37%,3,0.56%
5,19,527,490,92.98%,28,5.31%,6,1.14%,0,0%,1,0.19%,2,0.38%
5,20,620,583,94.03%,30,4.84%,4,0.65%,1,0.16%,2,0.32%,0,0%
5,21,577,543,94.11%,26,4.51%,4,0.69%,2,0.35%,1,0.17%,1,0.17%
5,22,670,630,94.03%,31,4.63%,5,0.75%,2,0.30%,0,0%,2,0.30%
5,23,991,916,92.43%,60,6.05%,3,0.30%,0,0%,4,0.40%,8,0.81%
5,24,708,667,94.21%,32,4.52%,3,0.42%,2,0.28%,1,0.14%,3,0.42%
5,25,509,484,95.09%,17,3.34%,6,1.18%,1,0.20%,0,0%,1,0.20%
5,26,550,520,94.55%,26,4.73%,2,0.36%,2,0.36%,0,0%,0,0%
5,27,600,545,90.83%,41,6.83%,5,0.83%,2,0.33%,0,0%,7,1.17%
5,28,578,540,93.43%,28,4.84%,7,1.21%,2,0.35%,0,0%,1,0.17%
5,29,596,571,95.81%,19,3.19%,2,0.34%,2,0.34%,0,0%,2,0.34%
5,30,377,358,94.96%,15,3.98%,0,0%,4,1.06%,0,0%,0,0%
5,31,438,418,95.43%,17,3.88%,0,0%,2,0.46%,0,0%,1,0.23%
5,32,618,589,95.31%,20,3.24%,5,0.81%,2,0.32%,1,0.16%,1,0.16%
5,33,613,597,97.39%,13,2.12%,2,0.33%,0,0%,0,0%,1,0.16%
5,34,621,576,92.75%,36,5.80%,0,0%,2,0.32%,1,0.16%,6,0.97%
5,35,733,689,94.00%,33,4.50%,6,0.82%,2,0.27%,0,0%,3,0.41%
5,36,376,356,94.68%,15,3.99%,3,0.80%,2,0.53%,0,0%,0,0%
5,37,593,553,93.25%,29,4.89%,4,0.67%,3,0.51%,0,0%,4,0.67%
5,38,540,516,95.56%,19,3.52%,3,0.56%,1,0.19%,0,0%,1,0.19%
5,39,485,442,91.13%,37,7.63%,1,0.21%,3,0.62%,0,0%,2,0.41%
5,40,438,404,92.24%,23,5.25%,4,0.91%,3,0.68%,1,0.23%,3,0.68%
5,41,272,263,96.69%,8,2.94%,0,0%,0,0%,0,0%,1,0.37%
6,1,459,445,96.95%,14,3.05%,0,0%,0,0%,0,0%,0,0%
6,2,449,430,95.77%,16,3.56%,2,0.45%,1,0.22%,0,0%,0,0%
6,3,479,462,96.45%,16,3.34%,1,0.21%,0,0%,0,0%,0,0%
6,4,356,338,94.94%,13,3.65%,3,0.84%,1,0.28%,1,0.28%,0,0%
6,5,314,297,94.59%,15,4.78%,2,0.64%,0,0%,0,0%,0,0%
6,6,512,491,95.90%,16,3.13%,4,0.78%,0,0%,0,0%,1,0.20%
6,7,451,433,96.01%,15,3.33%,0,0%,2,0.44%,0,0%,1,0.22%
6,8,444,434,97.75%,8,1.80%,1,0.23%,0,0%,0,0%,1,0.23%
6,9,456,438,96.05%,12,2.63%,1,0.22%,1,0.22%,1,0.22%,3,0.66%
6,10,350,332,94.86%,13,3.71%,5,1.43%,0,0%,0,0%,0,0%
6,11,373,355,95.17%,18,4.83%,0,0%,0,0%,0,0%,0,0%
6,12,360,330,91.67%,25,6.94%,1,0.28%,0,0%,1,0.28%,3,0.83%
6,13,338,324,95.86%,10,2.96%,2,0.59%,2,0.59%,0,0%,0,0%
6,14,417,403,96.64%,11,2.64%,1,0.24%,0,0%,2,0.48%,0,0%
6,15,399,374,93.73%,21,5.26%,1,0.25%,2,0.50%,1,0.25%,0,0%
6,16,462,443,95.89%,14,3.03%,4,0.87%,0,0%,0,0%,1,0.22%
6,17,332,307,92.47%,21,6.33%,2,0.60%,1,0.30%,1,0.30%,0,0%
6,18,311,301,96.78%,5,1.61%,3,0.96%,1,0.32%,0,0%,1,0.32%
6,19,380,365,96.05%,12,3.16%,2,0.53%,0,0%,1,0.26%,0,0%
6,20,281,271,96.44%,8,2.85%,1,0.36%,0,0%,0,0%,1,0.36%
6,21,233,217,93.13%,11,4.72%,1,0.43%,1,0.43%,3,1.29%,0,0%
6,22,295,275,93.22%,17,5.76%,1,0.34%,0,0%,2,0.68%,0,0%
6,23,269,252,93.68%,13,4.83%,2,0.74%,0,0%,1,0.37%,1,0.37%
6,24,251,229,91.24%,17,6.77%,1,0.40%,2,0.80%,1,0.40%,1,0.40%
6,25,238,227,95.38%,10,4.20%,1,0.42%,0,0%,0,0%,0,0%
6,26,358,333,93.02%,15,4.19%,4,1.12%,3,0.84%,2,0.56%,1,0.28%
6,27,276,261,94.57%,11,3.99%,1,0.36%,2,0.72%,1,0.36%,0,0%
6,28,222,211,95.05%,9,4.05%,0,0%,1,0.45%,1,0.45%,0,0%
6,29,442,422,95.48%,14,3.17%,2,0.45%,2,0.45%,0,0%,2,0.45%
6,30,376,353,93.88%,16,4.26%,2,0.53%,1,0.27%,0,0%,4,1.06%
6,31,423,407,96.22%,13,3.07%,0,0%,1,0.24%,0,0%,2,0.47%
6,32,420,400,95.24%,18,4.29%,1,0.24%,0,0%,1,0.24%,0,0%
6,33,430,401,93.26%,25,5.81%,3,0.70%,1,0.23%,0,0%,0,0%
6,34,440,435,98.86%,4,0.91%,1,0.23%,0,0%,0,0%,0,0%
6,35,408,388,95.10%,16,3.92%,1,0.25%,1,0.25%,1,0.25%,1,0.25%
6,36,477,464,97.27%,10,2.10%,2,0.42%,1,0.21%,0,0%,0,0%
6,37,452,424,93.81%,23,5.09%,3,0.66%,0,0%,1,0.22%,1,0.22%
6,38,469,452,96.38%,11,2.35%,4,0.85%,2,0.43%,0,0%,0,0%
6,39,387,372,96.12%,12,3.10%,1,0.26%,1,0.26%,1,0.26%,0,0%
6,40,399,387,96.99%,11,2.76%,0,0%,1,0.25%,0,0%,0,0%
6,41,433,409,94.46%,20,4.62%,1,0.23%,1,0.23%,0,0%,2,0.46%
6,42,457,435,95.19%,14,3.06%,3,0.66%,2,0.44%,0,0%,3,0.66%
6,43,425,405,95.29%,13,3.06%,3,0.71%,3,0.71%,0,0%,1,0.24%
6,44,520,499,95.96%,20,3.85%,0,0%,0,0%,1,0.19%,0,0%
6,45,444,431,97.07%,11,2.48%,1,0.23%,0,0%,0,0%,1,0.23%
6,46,324,316,97.53%,6,1.85%,0,0%,0,0%,1,0.31%,1,0.31%
6,47,335,319,95.22%,12,3.58%,2,0.60%,0,0%,1,0.30%,1,0.30%
6,48,437,420,96.11%,14,3.20%,3,0.69%,0,0%,0,0%,0,0%
7,1,468,445,95.09%,17,3.63%,1,0.21%,1,0.21%,0,0%,4,0.85%
7,2,466,435,93.35%,23,4.94%,5,1.07%,2,0.43%,1,0.21%,0,0%
7,3,439,424,96.58%,12,2.73%,0,0%,2,0.46%,1,0.23%,0,0%
7,4,427,412,96.49%,11,2.58%,1,0.23%,0,0%,1,0.23%,2,0.47%
7,5,398,367,92.21%,26,6.53%,2,0.50%,0,0%,0,0%,3,0.75%
7,6,569,541,95.08%,19,3.34%,5,0.88%,3,0.53%,0,0%,1,0.18%
7,7,445,421,94.61%,21,4.72%,1,0.22%,1,0.22%,1,0.22%,0,0%
7,8,319,301,94.36%,14,4.39%,3,0.94%,0,0%,0,0%,1,0.31%
7,9,742,699,94.20%,36,4.85%,2,0.27%,3,0.40%,1,0.13%,1,0.13%
7,10,486,471,96.91%,10,2.06%,2,0.41%,1,0.21%,0,0%,2,0.41%
7,11,515,495,96.12%,15,2.91%,2,0.39%,2,0.39%,0,0%,1,0.19%
7,12,452,423,93.58%,22,4.87%,5,1.11%,0,0%,1,0.22%,1,0.22%
7,13,307,296,96.42%,9,2.93%,1,0.33%,1,0.33%,0,0%,0,0%
7,14,522,491,94.06%,26,4.98%,1,0.19%,2,0.38%,2,0.38%,0,0%
7,15,423,416,98.35%,5,1.18%,1,0.24%,1,0.24%,0,0%,0,0%
7,16,427,391,91.57%,28,6.56%,5,1.17%,2,0.47%,1,0.23%,0,0%
7,17,352,336,95.45%,14,3.98%,0,0%,1,0.28%,1,0.28%,0,0%
7,18,423,394,93.14%,23,5.44%,5,1.18%,1,0.24%,0,0%,0,0%
7,19,411,392,95.38%,14,3.41%,1,0.24%,3,0.73%,0,0%,1,0.24%
7,20,350,334,95.43%,12,3.43%,4,1.14%,0,0%,0,0%,0,0%
7,21,339,315,92.92%,18,5.31%,4,1.18%,0,0%,1,0.29%,1,0.29%
7,22,386,359,93.01%,24,6.22%,2,0.52%,1,0.26%,0,0%,0,0%
7,23,398,387,97.24%,10,2.51%,0,0%,0,0%,1,0.25%,0,0%
7,24,376,356,94.68%,16,4.26%,1,0.27%,1,0.27%,2,0.53%,0,0%
7,25,380,335,88.16%,37,9.74%,3,0.79%,2,0.53%,3,0.79%,0,0%
7,26,332,312,93.98%,16,4.82%,2,0.60%,2,0.60%,0,0%,0,0%
7,27,354,344,97.18%,4,1.13%,3,0.85%,0,0%,0,0%,3,0.85%
7,28,345,318,92.17%,21,6.09%,4,1.16%,1,0.29%,0,0%,1,0.29%
7,29,389,367,94.34%,17,4.37%,3,0.77%,0,0%,0,0%,2,0.51%
7,30,347,322,92.80%,22,6.34%,1,0.29%,0,0%,1,0.29%,1,0.29%
7,31,324,289,89.20%,29,8.95%,2,0.62%,1,0.31%,1,0.31%,2,0.62%
7,32,535,512,95.70%,20,3.74%,2,0.37%,1,0.19%,0,0%,0,0%
7,33,530,511,96.42%,16,3.02%,2,0.38%,1,0.19%,0,0%,0,0%
7,34,522,502,96.17%,14,2.68%,5,0.96%,1,0.19%,0,0%,0,0%
7,35,466,440,94.42%,21,4.51%,2,0.43%,2,0.43%,0,0%,1,0.21%
7,36,518,496,95.75%,18,3.47%,3,0.58%,1,0.19%,0,0%,0,0%
7,37,451,425,94.24%,22,4.88%,3,0.67%,1,0.22%,0,0%,0,0%
7,38,379,367,96.83%,9,2.37%,1,0.26%,1,0.26%,0,0%,1,0.26%
7,39,397,388,97.73%,8,2.02%,1,0.25%,0,0%,0,0%,0,0%
7,40,370,358,96.76%,8,2.16%,2,0.54%,0,0%,0,0%,2,0.54%
7,41,412,394,95.63%,12,2.91%,2,0.49%,0,0%,2,0.49%,2,0.49%
7,42,390,382,97.95%,7,1.79%,0,0%,0,0%,1,0.26%,0,0%
7,43,407,388,95.33%,17,4.18%,1,0.25%,0,0%,0,0%,1,0.25%
7,44,375,358,95.47%,11,2.93%,2,0.53%,2,0.53%,2,0.53%,0,0%
7,45,468,443,94.66%,19,4.06%,0,0%,0,0%,5,1.07%,1,0.21%
7,46,173,165,95.38%,5,2.89%,2,1.16%,1,0.58%,0,0%,0,0%
8,1,391,370,94.63%,13,3.32%,5,1.28%,2,0.51%,0,0%,1,0.26%
